name,album,artist,artwork
道 〜to you all,道 〜to you all,aluto,https://i.scdn.co/image/ab67616d0000b273b9f2e0006d0f77917eaf65db
Cage <NTv>,narrative / NOISEofRAIN,SawanoHiroyuki[nZk],https://i.scdn.co/image/ab67616d0000b2731423c6e66f8c0875482c747f
Heaven's Door ~陽のあたる場所~,blue moon,Chise Kanna,https://i.scdn.co/image/ab67616d0000b2731762c8f3fcaa6b4a95e57235
永世のクレイドル,CRADLE OF ETERNITY,Yuko Suzuhana,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e
Somebody That I Used To Know,Making Mirrors,Gotye,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e
I’ll Still Have Me,Mood Swing,Cyn,https://i.scdn.co/image/ab67616d0000b273635f46769d51708b67b5a008
evermore (feat. Bon Iver),evermore (deluxe version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6
exile (feat. Bon Iver),folklore (deluxe version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233
Norwegian Wood (This Bird Has Flown) - Remastered 2009,Rubber Soul (Remastered),The Beatles,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4
She's Leaving Home - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
Re: Stacks,"For Emma, Forever Ago",Bon Iver,https://i.scdn.co/image/ab67616d0000b273bf7c317a63c4f128b8823406
Ode To My Family,No Need To Argue (The Complete Sessions 1994-1995),The Cranberries,https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796
Dreams,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,https://i.scdn.co/image/ab67616d0000b273f6325f361d7803ad0d908451
Tell Me You Do Too,NANA I,Nana Ou-Yang,https://i.scdn.co/image/ab67616d0000b2737d9ad4facaf08b28c8e36da5
Brick by Boring Brick,Brand New Eyes,Paramore,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6
Sunrise,Hollow Glow,Hannah Telle,https://i.scdn.co/image/ab67616d0000b2735c809f50af25c70f50da49ab
1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6
Let It Happen,Currents,Tame Impala,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Square (2017),Every letter I sent you.,Yerin Baek,https://i.scdn.co/image/ab67616d0000b273654022bf347404c44313aceb
STAR TRAIN,STAR TRAIN,Perfume,https://i.scdn.co/image/ab67616d0000b27352788335bdaba392a27bbfdd
TOKYO GIRL,TOKYO GIRL,Perfume,https://i.scdn.co/image/ab67616d0000b27320ea8117996e87c0d1908fed
FLASH,FLASH,Perfume,https://i.scdn.co/image/ab67616d0000b27394ede9cf19124a510e26ea41
Avocado,Coming Spring,yonige,https://i.scdn.co/image/ab67616d0000b273560ff0ae7a42af8bb29195c1
リボルバー,HOUSE,yonige,https://i.scdn.co/image/ab67616d0000b273eb8a1b9f444e8822334247e5
Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster),Queen,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0
Another One Bites The Dust - Remastered 2011,The Game (2011 Remaster),Queen,https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba
Starlight,Black Holes and Revelations,Muse,https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400
LOVE FLIES,REAL,L'Arc-en-Ciel,https://i.scdn.co/image/ab67616d0000b2735fae42d94f7ce387208534b8
Sakura,Kurnia Dan Pesona,Fariz RM,https://i.scdn.co/image/ab67616d0000b273005ac806737cb0286b950bfa
Aku Wanita,Keabadian,Reza Artamevia,https://i.scdn.co/image/ab67616d0000b2732eeaae9df7547a0db7fe7f13
Terlanjur Sayang,Janji Hati,Memes,https://i.scdn.co/image/f3b45e0be374fa0d34bdeb43d8c78dfcf21ad40b
Tak Bisa Kelain Hati,DEKADE 1988 - 1998,Kla Project,https://i.scdn.co/image/ab67616d0000b273de57522b5b15e11965b3c61c
Terpuruk Ku Disini,Ungu,Kla Project,https://i.scdn.co/image/ab67616d0000b273fb19724c55e3336e3b313635
One,Achtung Baby (Deluxe Edition),U2,https://i.scdn.co/image/ab67616d0000b27337cd18af5725b9cad0a5ab53
Sunday Bloody Sunday - Remastered 2008,War (Remastered),U2,https://i.scdn.co/image/ab67616d0000b273673526fcf35ab235e1a9d94c
Mengunci Ingatan,Taifun,Barasuara,https://i.scdn.co/image/ab67616d0000b273b3c6599412a3177bc251b8a1
For Tomorrow - 2012 Remaster,Modern Life Is Rubbish (Special Edition),Blur,https://i.scdn.co/image/ab67616d0000b2735a80e73aa70cf75e0258ea40
Cukup Siti Nurbaya,Terbaik Terbaik,Dewa 19,https://i.scdn.co/image/f59c02125f70dbce2385090ddde01625c7cfb5c1
Pupus,Cintailah Cinta,Dewa,https://i.scdn.co/image/4998f20672f6783f7448f1266973a9e0595d5ea5
Lagu Cinta,Bintang Lima,Dewa,https://i.scdn.co/image/64825eca60656397ee6133105402d94df84af353
INVU,INVU - The 3rd Album,TAEYEON,https://i.scdn.co/image/ab67616d0000b273034c3a8ba89c6a5ecfda3175
Drawing Our Moments,Purpose - The 2nd Album Repackage,TAEYEON,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66
Misery Business,Riot!,Paramore,https://i.scdn.co/image/ab67616d0000b27369966efa45b125ed6711b43c
Ain't It Fun,Paramore,Paramore,https://i.scdn.co/image/ab67616d0000b273e71a5005c37e8c2ffd9beda8
State Of Grace,Red (Deluxe Edition),Taylor Swift,https://i.scdn.co/image/ab67616d0000b273254c8a09649551438b20f4c0
Help! - Remastered 2009,Help! (Remastered),The Beatles,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
Every Breaking Wave,Songs Of Innocence,U2,https://i.scdn.co/image/ab67616d0000b273ce44013f908efc456d79ca84
Country House - 2012 Remaster,The Great Escape (Special Edition),Blur,https://i.scdn.co/image/ab67616d0000b273d6edad0d4fc3448ccc61c13c
September Ceria,Vol II: Citra Pesona,Vina Panduwinata,https://i.scdn.co/image/ab67616d0000b273ba11b842ece393beb493194d
I Still Haven't Found What I'm Looking For - Remastered 2007,The Joshua Tree,U2,https://i.scdn.co/image/ab67616d0000b273e2e8f804c2cdd5b3815adbf9
